Site.Code,Emergent,Floating,Open,Submergent,pH
ALC,4.5,33,62.5,90,8.334999999999999
CAP,4,26,70,60,9
DCSW1,5,5,90,40,8.14
DCSW2,3.5,19,77.5,45,8.765
DCSW3,5,5,90,40,8.14
DOBA4,10,10,80,15,7.789999999999999
DOBA5,1,2.5,96.5,1,9.285
DOBA7,1.5,0.5,98,1,8.08
DOBA8,1.5,4.5,94,1,7.6
ELV,3,6,91,20,9.04
HP-UW,7,8,85,27.5,8.379999999999999
KP,25,60,15,3.5,6.705
L60-UW,30,17.5,50,75,7.215
LM-ARB,1,0.5,98.5,5.5,8.175
MDT,3.5,11.5,85,50,7.84
O-N,3,2,95,12.5,8.780000000000001
O-S,5,16,79,27,8.74
OPP-E,15,11,74,85,7.475
OPP-W,15,15,70,17.5,7.125
UM-ARB,1.5,4,94.5,5,8.135
