pond,Bottom_DO_summer,Top_DO_summer,diffDO_summer,densGrad_summer,RTRM_summer,chloride_mgL_summer,sulfate_mgL_summer,secchi_m_summer,TSS_gL_summer,POM_gL_summer,OM_perc_summer,DOC_summer,DIC_summer,chla_summer,co2_summer,ch4_summer,srp_summer,Floating,Algae,Emergent
ALC,24.714285714285715,76.72857142857143,52.01428571428572,0.356,42.54757142857143,236.44,2.116,0.5191666666666667,0.0144,0.0098,67.36,9.0418,21.79,30.98,41.045,5.58825,26.822333333333333,40,39.666666666666664,15
CAP,17.885714285714286,39,21.114285714285714,0.42342857142857143,50.251285714285714,27.46,2.118,0.6307142857142857,0.007333333333333333,0.005833333333333334,74.97333333333333,5.9894,13.4404,16.15,138.65,12.21575,11.021333333333333,68.33333333333333,8.333333333333334,21.666666666666668
DCSW1,8.82857142857143,57.542857142857144,48.714285714285715,0.9315714285714286,112.60271428571428,26.491999999999997,3.762,1.2685714285714287,0.0036666666666666666,0.0026666666666666666,76.00666666666666,6.8398,19.716,9.566666666666666,30.37275,2.0837499999999998,30.714999999999996,5.666666666666667,20,23.333333333333332
DCSW2,10.514285714285714,86.24285714285715,75.72857142857143,0.7512857142857143,90.71328571428572,44.788,8.347999999999999,0.8042857142857143,0.009000000000000001,0.006166666666666667,68.14833333333334,6.4563999999999995,27.774,42.6,44.561749999999996,7.59875,16.508666666666667,35,35,5
DCSW3,14.657142857142857,56.871428571428574,42.214285714285715,0.8412857142857143,102.48985714285715,45.672,7.316,1.2457142857142858,0.005666666666666667,0.004333333333333333,75.62333333333333,6.1616,25.406,9.916666666666666,44.10525,6.085,41.592,11.666666666666666,35,15
DOBA4,14.557142857142857,92.94285714285715,78.38571428571429,0.6951428571428572,84.275,28.556,2.014,0.29928571428571427,0.03133333333333333,0.023833333333333335,75.50666666666666,5.9404,8.399799999999999,74.95,44.08125,0.65,6.997333333333334,40,0,26.666666666666668
DOBA5,4.628571428571428,106.15714285714286,101.52857142857142,1.1777142857142857,143.07185714285714,37.72,2.414,0.5892857142857143,0.026333333333333334,0.022833333333333334,85.075,7.9806,9.2416,157.35,11.6665,16.295,13.165333333333333,0,66,0
DOBA7,28.014285714285712,84.57142857142857,56.55714285714286,0.5242857142857142,54.22057142857143,75.498,5.194,0.3264285714285714,0.027333333333333334,0.016,58.50833333333333,6.3824,8.7446,84,2.851,0.74575,7.224,30,0,0
DOBA8,1.8285714285714285,73.01428571428572,71.18571428571428,0.9654285714285714,116.7312857142857,25.1,2.102,0.7221428571428571,0.008833333333333334,0.007666666666666667,67.01333333333334,5.8347999999999995,8.926,25.96666666666667,32.80825,1.416,13.671333333333333,6.666666666666667,9,3.3333333333333335
ELV,0.5571428571428572,75.37142857142857,74.81428571428572,1.2638571428571428,152.30057142857143,75.952,3.372,0.645,0.008833333333333334,0.006166666666666667,68.91499999999999,6.0476,10.0956,32,23.964000000000002,1.26775,14.784666666666666,8.5,7.5,15
HP-UW,53.44285714285714,113,59.557142857142864,0.599,72.51242857142857,173.50666666666666,23.535,0.6492857142857142,0.011333333333333334,0.004833333333333334,42.61833333333333,2.507,40.264,13.55,58.39175,1.72725,2.634,5,15,0
KP,1.0142857142857142,39.142857142857146,38.128571428571426,0.9098571428571428,110.51685714285715,18.66,0.97,0.3407142857142857,0.043833333333333335,0.03383333333333333,75.56666666666666,8.4946,16.022,104.71666666666667,561.58325,71.31675,65.45066666666666,76.66666666666667,5.5,16
L60-UW,0.8571428571428571,49.22857142857143,48.37142857142857,1.332,161.071,119.588,2.44,0.5164285714285715,0.011333333333333334,0.008166666666666666,68.71166666666667,7.0846,21.147199999999998,56.13333333333333,221.82525,86.635,18.253333333333334,47.5,5,46.25
LM-ARB,47.15714285714286,58.6,11.442857142857145,0.14942857142857144,16.46014285714286,101.696,4.852,0.28785714285714287,0.031166666666666665,0.017833333333333333,59.54833333333333,6.9879999999999995,25.002,116.13333333333333,93.84175,1.55575,18.139333333333333,0,2,0
MDT,48.871428571428574,96.78571428571428,47.91428571428571,0.29914285714285715,33.77128571428572,34.032,2.2119999999999997,0.6985714285714285,0.008166666666666666,0.007166666666666667,88.225,6.3922,8.3066,34.3,0.2285,0.771,9.987666666666666,15,11.666666666666666,11.666666666666666
O-N,42.15714285714286,111.82857142857142,69.67142857142858,0.42314285714285715,47.83685714285715,61.075,13.68,0.3425,0.034,0.017666666666666667,49.42,5.273,35.054,48.53333333333333,23.25425,0.6865,4.993333333333333,2.3333333333333335,0.3333333333333333,0
O-S,24.114285714285714,78.6,54.48571428571429,0.3231428571428571,38.462428571428575,66.346,10.612,0.5608333333333333,0.02,0.009000000000000001,41.45666666666666,5.0396,29.698,24.53333333333333,21.13775,1.07325,8.483333333333334,14,20,0
OPP-E,8.585714285714285,107.82857142857144,99.24285714285715,0.5541428571428572,66.17128571428572,9.986,4.992,0.27749999999999997,0.03816666666666667,0.025666666666666667,68.03666666666666,8.2124,16.534,173.05,2.056,0.8847499999999999,11.143333333333334,12.5,1,0
OPP-W,0.4,81.55714285714285,81.15714285714286,1.5945714285714285,192.47957142857143,29.828000000000003,4.918,0.28,0.03233333333333333,0.027166666666666665,82.96666666666667,10.4472,14.464,326.9166666666667,207.9215,14.6725,45.67133333333334,40,0,10
UM-ARB,57.385714285714286,89.88571428571429,32.5,0.293,34.89771428571429,101.866,5.428,0.2735714285714286,0.03966666666666667,0.023,59.586666666666666,6.8342,24.504,127.58333333333334,103.94175,2.02025,17.373666666666665,0,5,20
